rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
114,frame_0018.jpg,7.2,0.6278,0.7588,0.1613,1.0,29,5,False,False
115,frame_0269.jpg,107.6,0.6268,0.8312,0.6774,0.04,79,21,False,False
116,frame_0279.jpg,111.6,0.6268,0.916,0.3226,0.36,44,10,False,False
117,frame_0222.jpg,88.8,0.6248,0.8792,0.4839,0.2,56,15,False,False
118,frame_0215.jpg,86.0,0.6239,0.8816,0.2903,0.48,36,9,False,False
119,frame_0209.jpg,83.6,0.6223,0.8212,0.2258,0.72,29,7,False,False
120,frame_0223.jpg,89.2,0.6208,0.8873,0.4839,0.16,56,15,False,False
121,frame_0219.jpg,87.6,0.6203,0.8804,0.3871,0.32,44,12,False,False
122,frame_0389.jpg,155.6,0.6179,0.8974,0.4839,0.12,67,15,False,False
123,frame_0281.jpg,112.4,0.6176,0.9237,0.2258,0.44,36,7,False,False
124,frame_0202.jpg,80.8,0.6168,0.9162,0.129,0.6,26,4,False,False
125,frame_0210.jpg,84.0,0.6162,0.825,0.2258,0.68,38,7,False,False
126,frame_0078.jpg,31.2,0.6133,0.7938,0.1613,0.84,34,5,False,False
127,frame_0301.jpg,120.4,0.6122,0.7968,0.4194,0.44,51,13,False,False
128,frame_0012.jpg,4.8,0.612,0.7659,0.0968,1.0,30,3,False,False
129,frame_0000.jpg,0.0,0.6116,0.6878,0.2258,1.0,44,7,False,False
130,frame_0232.jpg,92.8,0.6113,0.8717,0.4516,0.2,55,14,False,False
131,frame_0275.jpg,110.0,0.6112,0.8908,0.4194,0.2,52,13,False,False
132,frame_0288.jpg,115.2,0.6083,0.7738,0.2581,0.72,39,8,False,False
133,frame_0282.jpg,112.8,0.6076,0.9071,0.1935,0.48,34,6,False,False
134,frame_0013.jpg,5.2,0.6075,0.6795,0.2258,1.0,39,7,False,False
135,frame_0397.jpg,158.8,0.6075,0.9414,0.3226,0.2,55,10,False,False
136,frame_0122.jpg,48.8,0.6069,0.8189,0.2581,0.6,49,8,False,False
137,frame_0367.jpg,146.8,0.6063,0.9097,0.4516,0.08,67,14,False,False
138,frame_0274.jpg,109.6,0.6044,0.9513,0.3226,0.16,42,10,False,False
139,frame_0200.jpg,80.0,0.6042,0.8844,0.1935,0.52,24,6,False,False
140,frame_0280.jpg,112.0,0.6034,0.8919,0.2581,0.4,38,8,False,False
141,frame_0116.jpg,46.4,0.6019,0.8856,0.2903,0.36,58,9,False,False
142,frame_0323.jpg,129.2,0.6016,0.9811,0.2903,0.12,53,9,False,False
143,frame_0175.jpg,70.0,0.6013,0.8584,0.3871,0.28,50,12,False,False
144,frame_0226.jpg,90.4,0.6012,0.896,0.4839,0.04,64,15,False,False
145,frame_0378.jpg,151.2,0.6007,0.8985,0.4516,0.08,56,14,False,False
146,frame_0004.jpg,1.6,0.5999,0.6644,0.2258,1.0,33,7,False,False
147,frame_0180.jpg,72.0,0.5986,0.9136,0.4194,0.08,61,13,False,False
148,frame_0178.jpg,71.2,0.5978,0.88,0.4194,0.16,53,13,False,False
149,frame_0089.jpg,35.6,0.5977,0.8225,0.3548,0.4,49,11,False,False
150,frame_0374.jpg,149.6,0.5961,0.8413,0.4516,0.2,55,14,False,False
151,frame_0003.jpg,1.2,0.596,0.7146,0.129,1.0,34,4,False,False
152,frame_0186.jpg,74.4,0.5955,0.9041,0.4516,0.04,62,14,False,False
153,frame_0197.jpg,78.8,0.5954,0.876,0.2581,0.4,26,8,False,False
154,frame_0184.jpg,73.6,0.5941,0.9045,0.4194,0.08,56,13,False,False
155,frame_0225.jpg,90.0,0.5934,0.8258,0.5484,0.08,68,17,False,False
156,frame_0173.jpg,69.2,0.5927,0.8672,0.2903,0.36,50,9,False,False
157,frame_0391.jpg,156.4,0.5921,0.7811,0.6452,0.04,76,20,False,False
158,frame_0002.jpg,0.8,0.5907,0.6846,0.1613,1.0,36,5,False,False
159,frame_0315.jpg,126.0,0.59,0.8804,0.4194,0.12,50,13,False,False
160,frame_0296.jpg,118.4,0.5899,0.7884,0.2258,0.64,38,7,False,False
161,frame_0376.jpg,150.4,0.5895,0.9022,0.3548,0.16,56,11,False,False
162,frame_0109.jpg,43.6,0.5893,0.9143,0.3871,0.08,50,12,False,False
163,frame_0278.jpg,111.2,0.5889,0.9531,0.1613,0.32,41,5,False,False
164,frame_0177.jpg,70.8,0.5877,0.8631,0.3871,0.2,54,12,False,False
165,frame_0306.jpg,122.4,0.5851,0.8419,0.3871,0.24,48,12,False,False
166,frame_0290.jpg,116.0,0.5846,0.7137,0.2258,0.8,24,7,False,False
167,frame_0198.jpg,79.2,0.5842,0.8376,0.2581,0.44,28,8,False,False
168,frame_0230.jpg,92.0,0.5841,0.8493,0.4516,0.12,56,14,False,False
169,frame_0118.jpg,47.2,0.5835,0.7394,0.4194,0.44,56,13,False,False
170,frame_0396.jpg,158.4,0.5829,0.8115,0.4839,0.16,60,15,False,False
171,frame_0313.jpg,125.2,0.5813,0.8757,0.4516,0.04,56,14,False,False
172,frame_0299.jpg,119.6,0.5804,0.7205,0.3871,0.52,46,12,False,False
173,frame_0098.jpg,39.2,0.5796,0.911,0.3871,0.04,51,12,False,False
174,frame_0220.jpg,88.0,0.5793,0.8724,0.2903,0.28,56,9,False,False
175,frame_0077.jpg,30.8,0.5785,0.7662,0.0645,0.88,34,2,False,False
176,frame_0104.jpg,41.6,0.5784,0.9539,0.2581,0.12,48,8,False,False
177,frame_0015.jpg,6.0,0.5768,0.56,0.3226,1.0,31,10,False,False
178,frame_0199.jpg,79.6,0.5763,0.9026,0.0968,0.48,23,3,False,False
179,frame_0189.jpg,75.6,0.576,0.8878,0.3871,0.08,43,12,False,False
180,frame_0212.jpg,84.8,0.5752,0.7943,0.1935,0.6,34,6,False,False
181,frame_0216.jpg,86.4,0.5747,0.8961,0.129,0.44,32,4,False,False
182,frame_0272.jpg,108.8,0.5739,0.8642,0.4194,0.08,53,13,False,False
183,frame_0206.jpg,82.4,0.5734,0.7073,0.2258,0.76,28,7,False,False
184,frame_0115.jpg,46.0,0.5724,0.8426,0.2903,0.32,47,9,False,False
185,frame_0233.jpg,93.2,0.5718,0.7572,0.4839,0.24,55,15,False,False
186,frame_0228.jpg,91.2,0.5717,0.9533,0.2903,0.04,54,9,False,False
187,frame_0117.jpg,46.8,0.5715,0.7508,0.3871,0.4,53,12,False,False
188,frame_0201.jpg,80.4,0.571,0.8212,0.1613,0.56,28,5,False,False
189,frame_0082.jpg,32.8,0.5703,0.7719,0.1613,0.68,32,5,False,False
190,frame_0277.jpg,110.8,0.5655,0.8836,0.2258,0.28,36,7,False,False
191,frame_0194.jpg,77.6,0.5646,0.8236,0.3226,0.28,34,10,False,False
192,frame_0314.jpg,125.6,0.5644,0.8258,0.4516,0.08,52,14,False,False
193,frame_0273.jpg,109.2,0.5619,0.921,0.2581,0.12,50,8,False,False
194,frame_0092.jpg,36.8,0.5591,0.89,0.1935,0.28,45,6,False,False
195,frame_0207.jpg,82.8,0.5585,0.7003,0.1613,0.8,32,5,False,False
196,frame_0204.jpg,81.6,0.5581,0.7281,0.1935,0.68,28,6,False,False
197,frame_0192.jpg,76.8,0.5561,0.8386,0.3226,0.2,40,10,False,False
198,frame_0188.jpg,75.2,0.5555,0.979,0.1935,0.04,59,6,False,False
199,frame_0287.jpg,114.8,0.5555,0.7036,0.2258,0.68,41,7,False,False
200,frame_0112.jpg,44.8,0.5529,0.8709,0.2581,0.2,42,8,False,False
201,frame_0086.jpg,34.4,0.5525,0.7228,0.2903,0.52,37,9,False,False
202,frame_0176.jpg,70.4,0.5498,0.8294,0.2903,0.24,53,9,False,False
203,frame_0276.jpg,110.4,0.5493,0.8865,0.1935,0.24,41,6,False,False
204,frame_0113.jpg,45.2,0.5478,0.8448,0.2581,0.24,42,8,False,False
205,frame_0382.jpg,152.8,0.5472,0.8108,0.4194,0.08,55,13,False,False
206,frame_0016.jpg,6.4,0.547,0.6552,0.0645,1.0,30,2,False,False
207,frame_0093.jpg,37.2,0.5456,0.8791,0.1935,0.24,39,6,False,False
208,frame_0302.jpg,120.8,0.5454,0.7566,0.2903,0.4,32,9,False,False
209,frame_0114.jpg,45.6,0.544,0.8018,0.2903,0.28,39,9,False,False
210,frame_0181.jpg,72.4,0.5435,0.8194,0.4194,0.04,44,13,False,False
211,frame_0383.jpg,153.2,0.5428,0.8054,0.3871,0.12,55,12,False,False
212,frame_0214.jpg,85.6,0.5417,0.7399,0.2258,0.52,38,7,False,False
213,frame_0085.jpg,34.0,0.5399,0.7204,0.2258,0.56,32,7,False,False
214,frame_0102.jpg,40.8,0.5397,0.7798,0.4194,0.12,44,13,False,False
215,frame_0395.jpg,158.0,0.5393,0.8564,0.2903,0.12,45,9,False,False
216,frame_0179.jpg,71.6,0.5385,0.8549,0.2903,0.12,50,9,False,False
217,frame_0217.jpg,86.8,0.5382,0.8003,0.1935,0.4,47,6,False,False
218,frame_0297.jpg,118.8,0.5382,0.6815,0.2581,0.6,38,8,False,False
219,frame_0300.jpg,120.0,0.5368,0.688,0.3226,0.48,42,10,False,False
220,frame_0307.jpg,122.8,0.5355,0.8942,0.1613,0.2,43,5,False,False
221,frame_0308.jpg,123.2,0.5343,0.8498,0.2581,0.16,48,8,False,False
222,frame_0119.jpg,47.6,0.5311,0.7734,0.1613,0.48,48,5,False,False
223,frame_0305.jpg,122.0,0.5305,0.6974,0.4194,0.28,47,13,False,False
224,frame_0205.jpg,82.0,0.5285,0.711,0.0968,0.72,28,3,False,False
225,frame_0196.jpg,78.4,0.5281,0.8154,0.1613,0.36,22,5,False,False
226,frame_0381.jpg,152.4,0.5266,0.8631,0.2903,0.04,56,9,False,False
227,frame_0208.jpg,83.2,0.525,0.6299,0.1935,0.76,34,6,False,False
228,frame_0224.jpg,89.6,0.5238,0.7867,0.3548,0.12,49,11,False,False
229,frame_0123.jpg,49.2,0.5219,0.633,0.2581,0.64,46,8,False,False
230,frame_0111.jpg,44.4,0.5187,0.7605,0.3548,0.16,50,11,False,False
231,frame_0311.jpg,124.4,0.5136,0.779,0.3871,0.04,54,12,False,False
232,frame_0303.jpg,121.2,0.5117,0.7246,0.2581,0.36,36,8,False,False
233,frame_0394.jpg,157.6,0.5109,0.777,0.3548,0.08,58,11,False,False
234,frame_0097.jpg,38.8,0.5098,0.8134,0.2903,0.08,44,9,False,False
235,frame_0080.jpg,32.0,0.5094,0.5794,0.2258,0.76,32,7,False,False
236,frame_0191.jpg,76.4,0.5093,0.8386,0.1935,0.16,39,6,False,False
237,frame_0190.jpg,76.0,0.505,0.8072,0.2581,0.12,42,8,False,False
238,frame_0304.jpg,121.6,0.5041,0.706,0.2903,0.32,39,9,False,False
239,frame_0310.jpg,124.0,0.5028,0.78,0.3226,0.08,52,10,False,False
240,frame_0195.jpg,78.0,0.5022,0.7216,0.2581,0.32,30,8,False,False
241,frame_0231.jpg,92.4,0.5003,0.7238,0.3548,0.16,52,11,False,False
242,frame_0105.jpg,42.0,0.4972,0.8076,0.2581,0.08,48,8,False,False
243,frame_0291.jpg,116.4,0.4948,0.5761,0.129,0.84,33,4,False,False
244,frame_0229.jpg,91.6,0.4939,0.7816,0.2903,0.08,62,9,False,False
245,frame_0095.jpg,38.0,0.4922,0.7462,0.2903,0.16,50,9,False,False
246,frame_0101.jpg,40.4,0.4921,0.8168,0.2258,0.08,39,7,False,False
247,frame_0108.jpg,43.2,0.4921,0.794,0.2903,0.04,44,9,False,False
248,frame_0096.jpg,38.4,0.4897,0.8347,0.1613,0.12,41,5,False,False
249,frame_0309.jpg,123.6,0.4894,0.7567,0.2903,0.12,50,9,False,False
250,frame_0183.jpg,73.2,0.4684,0.7467,0.2903,0.04,46,9,False,False
251,frame_0103.jpg,41.2,0.4602,0.779,0.129,0.16,43,4,False,False
252,frame_0094.jpg,37.6,0.4595,0.6842,0.2581,0.2,42,8,False,False
253,frame_0110.jpg,44.0,0.4428,0.7022,0.2258,0.12,42,7,False,False
254,frame_0083.jpg,33.2,0.4419,0.5698,0.0968,0.64,31,3,False,False
255,frame_0106.jpg,42.4,0.4232,0.7143,0.1935,0.04,38,6,False,False
256,frame_0100.jpg,40.0,0.3715,0.6495,0.129,0.04,35,4,False,False
